order,p,d,q,trend_req,trend_used,AIC,BIC,RMSE_test,MSE_test,error
"(3,2,0)",3,2,0,ct,ct,9927.956761157391,9947.336023074224,2157.117994272531,4653158.041214348,ERROR
"(3,2,0)",3,2,0,d,c,9927.956761157391,9947.336023074224,2157.117994272531,4653158.041214348,ERROR
"(2,2,0)",2,2,0,n,n,10014.740542988287,10029.27818261408,2764.3944047853915,7641876.42520878,OK
"(2,2,0)",2,2,0,c,c,10014.740542988287,10029.27818261408,2764.3944047853915,7641876.42520878,ERROR
"(2,2,0)",2,2,0,t,t,10014.740542988287,10029.27818261408,2764.3944047853915,7641876.42520878,ERROR
"(2,2,0)",2,2,0,ct,ct,10014.740542988287,10029.27818261408,2764.3944047853915,7641876.42520878,ERROR
"(2,2,0)",2,2,0,d,c,10014.740542988287,10029.27818261408,2764.3944047853915,7641876.42520878,ERROR
"(1,2,0)",1,2,0,n,n,10132.461974308873,10142.155860588044,3161.447918000296,9994752.938228406,OK
"(1,2,0)",1,2,0,c,c,10132.461974308873,10142.155860588044,3161.447918000296,9994752.938228406,ERROR
"(1,2,0)",1,2,0,t,t,10132.461974308873,10142.155860588044,3161.447918000296,9994752.938228406,ERROR
