order,p,d,q,trend_req,trend_used,AIC,BIC,RMSE_test,MSE_test,error
"(3,1,2)",3,1,2,ct,ct,5014.052055789356,5047.965764143813,5.260726123115191,27.675239342426586,ERROR
"(3,1,2)",3,1,2,d,c,5014.052055789356,5047.965764143813,5.260726123115191,27.675239342426586,ERROR
"(2,0,2)",2,0,2,n,n,5014.20536786622,5038.43476724254,5.463612840036304,29.851065265809563,OK
"(2,0,2)",2,0,2,d,n,5014.20536786622,5038.43476724254,5.463612840036304,29.851065265809563,OK
"(2,0,1)",2,0,1,t,t,5014.2771771845955,5038.511892882522,6.492945335683417,42.15833913217304,OK
"(2,0,2)",2,0,2,ct,ct,5014.307591944899,5048.228751071748,7.322057936854296,53.612532430650994,OK
"(1,1,0)",1,1,0,n,n,5014.453275205873,5024.147161485043,6.556644315967358,42.989584686107065,OK
"(1,1,0)",1,1,0,c,c,5014.453275205873,5024.147161485043,6.556644315967358,42.989584686107065,ERROR
"(2,2,1)",2,2,1,n,n,5014.556380908353,5033.935642825187,4.833974352851852,23.367308044029482,OK
"(2,2,1)",2,2,1,c,c,5014.556380908353,5033.935642825187,4.833974352851852,23.367308044029482,ERROR
"(2,2,1)",2,2,1,t,t,5014.556380908353,5033.935642825187,4.833974352851852,23.367308044029482,ERROR
"(2,2,1)",2,2,1,ct,ct,5014.556380908353,5033.935642825187,4.833974352851852,23.367308044029482,ERROR
"(2,2,1)",2,2,1,d,c,5014.556380908353,5033.935642825187,4.833974352851852,23.367308044029482,ERROR
"(3,0,1)",3,0,1,n,n,5014.7109350488245,5038.940334425145,5.512558274713747,30.388298732115008,OK
"(3,0,1)",3,0,1,d,n,5014.7109350488245,5038.940334425145,5.512558274713747,30.388298732115008,OK
"(0,1,0)",0,1,0,t,t,5015.027851724102,5024.721738003273,5.361277853580671,28.743300223294572,OK
"(0,1,0)",0,1,0,ct,ct,5015.027851724102,5024.721738003273,5.361277853580671,28.743300223294572,ERROR
"(0,1,0)",0,1,0,d,c,5015.027851724102,5024.721738003273,5.361277853580671,28.743300223294572,ERROR
"(4,0,2)",4,0,2,n,n,5015.3068714160345,5049.220579770492,5.42800458371189,29.463233760797287,OK
"(4,0,2)",4,0,2,d,n,5015.3068714160345,5049.220579770492,5.42800458371189,29.463233760797287,OK
"(4,0,2)",4,0,2,c,c,5015.430310047026,5054.188833880692,10.789961163105644,116.42326190132812,OK
"(1,0,1)",1,0,1,ct,ct,5015.58987180554,5039.824587503466,7.644793188023298,58.44286288764743,OK
"(1,0,0)",1,0,0,t,t,5015.597150520445,5030.141166344174,6.757518832351441,45.66406076958439,OK
"(2,0,0)",2,0,0,ct,ct,5015.604180290087,5039.838895988014,7.651683909579224,58.54826665211359,OK
"(3,0,1)",3,0,1,c,c,5015.7890874435,5044.864366695084,10.539195822729072,111.07464858982992,OK
"(3,0,2)",3,0,2,ct,ct,5015.822922267376,5054.589961269488,7.325979479247443,53.66997533035463,OK
"(3,0,2)",3,0,2,n,n,5016.081425318418,5045.156704570002,5.449749052480109,29.699764735007843,OK
"(3,0,2)",3,0,2,d,n,5016.081425318418,5045.156704570002,5.449749052480109,29.699764735007843,OK
"(1,1,0)",1,1,0,t,t,5016.191900401129,5030.732729819885,5.425769015710608,29.43896941184526,OK
"(1,1,0)",1,1,0,ct,ct,5016.191900401129,5030.732729819885,5.425769015710608,29.43896941184526,ERROR
"(1,1,0)",1,1,0,d,c,5016.191900401129,5030.732729819885,5.425769015710608,29.43896941184526,ERROR
"(1,0,1)",1,0,1,n,n,5016.326033763115,5030.866863181872,5.582653347211694,31.166018395133925,OK
"(1,0,1)",1,0,1,d,n,5016.326033763115,5030.866863181872,5.582653347211694,31.166018395133925,OK
"(2,0,0)",2,0,0,n,n,5016.358403912924,5030.89923333168,5.564765159421285,30.966611279508996,OK
"(2,0,0)",2,0,0,d,n,5016.358403912924,5030.89923333168,5.564765159421285,30.966611279508996,OK
"(2,0,2)",2,0,2,c,c,5016.382294809371,5045.457574060955,10.557378023536302,111.45823073184728,OK
"(2,0,1)",2,0,1,ct,ct,5017.559245669279,5046.640904506791,7.633510951262452,58.270489443043786,OK
"(3,0,2)",3,0,2,c,c,5017.694360868887,5051.615519995736,10.483421237351173,109.9021208397456,OK
"(1,0,1)",1,0,1,c,c,5017.826318497193,5037.2140910555345,10.669496131828714,113.83814770710788,OK
"(2,0,0)",2,0,0,c,c,5017.851697708742,5037.239470267084,10.675452849492688,113.96529354174153,OK
"(2,0,1)",2,0,1,n,n,5018.171916901753,5037.559689460095,5.576386207017098,31.09608312981054,OK
"(2,0,1)",2,0,1,d,n,5018.171916901753,5037.559689460095,5.576386207017098,31.09608312981054,OK
"(1,0,0)",1,0,0,ct,ct,5018.630397978273,5038.022419076578,7.7505176943880745,60.070524531022635,OK
"(3,0,2)",3,0,2,t,t,5019.086141614297,5053.007300741146,11.811742163314928,139.5172529326316,OK
"(1,0,0)",1,0,0,n,n,5019.6077824922195,5029.303793041372,5.570359124612659,31.02890077715551,OK
"(1,0,0)",1,0,0,d,n,5019.6077824922195,5029.303793041372,5.570359124612659,31.02890077715551,OK
"(2,0,1)",2,0,1,c,c,5019.742046924783,5043.976762622709,10.642552664608155,113.26392721895813,OK
"(1,0,0)",1,0,0,c,c,5020.989280001545,5035.533295825274,10.992488593657557,120.83480548169148,OK
"(5,2,0)",5,2,0,n,n,5135.218783050773,5164.268475909638,104.02689246397405,10821.594355711222,OK
"(5,2,0)",5,2,0,c,c,5135.218783050773,5164.268475909638,104.02689246397405,10821.594355711222,ERROR
"(5,2,0)",5,2,0,t,t,5135.218783050773,5164.268475909638,104.02689246397405,10821.594355711222,ERROR
"(5,2,0)",5,2,0,ct,ct,5135.218783050773,5164.268475909638,104.02689246397405,10821.594355711222,ERROR
"(5,2,0)",5,2,0,d,c,5135.218783050773,5164.268475909638,104.02689246397405,10821.594355711222,ERROR
"(4,2,0)",4,2,0,n,n,5170.917462716054,5195.130879127246,125.9095444976053,15853.213395594448,OK
"(4,2,0)",4,2,0,c,c,5170.917462716054,5195.130879127246,125.9095444976053,15853.213395594448,ERROR
"(4,2,0)",4,2,0,t,t,5170.917462716054,5195.130879127246,125.9095444976053,15853.213395594448,ERROR
"(4,2,0)",4,2,0,ct,ct,5170.917462716054,5195.130879127246,125.9095444976053,15853.213395594448,ERROR
"(4,2,0)",4,2,0,d,c,5170.917462716054,5195.130879127246,125.9095444976053,15853.213395594448,ERROR
"(3,2,0)",3,2,0,n,n,5212.2840771760675,5231.659076972092,144.20806558149164,20795.966178755792,OK
"(3,2,0)",3,2,0,c,c,5212.2840771760675,5231.659076972092,144.20806558149164,20795.966178755792,ERROR
"(3,2,0)",3,2,0,t,t,5212.2840771760675,5231.659076972092,144.20806558149164,20795.966178755792,ERROR
"(3,2,0)",3,2,0,ct,ct,5212.2840771760675,5231.659076972092,144.20806558149164,20795.966178755792,ERROR
"(3,2,0)",3,2,0,d,c,5212.2840771760675,5231.659076972092,144.20806558149164,20795.966178755792,ERROR
"(2,2,0)",2,2,0,n,n,5284.436294057023,5298.9707404946475,158.68055597038705,25179.518843071135,OK
"(2,2,0)",2,2,0,c,c,5284.436294057023,5298.9707404946475,158.68055597038705,25179.518843071135,ERROR
"(2,2,0)",2,2,0,t,t,5284.436294057023,5298.9707404946475,158.68055597038705,25179.518843071135,ERROR
"(2,2,0)",2,2,0,ct,ct,5284.436294057023,5298.9707404946475,158.68055597038705,25179.518843071135,ERROR
"(2,2,0)",2,2,0,d,c,5284.436294057023,5298.9707404946475,158.68055597038705,25179.518843071135,ERROR
"(1,2,0)",1,2,0,n,n,5400.283349493162,5409.97510924369,199.944655681229,39977.86533548522,OK
