order,p,d,q,trend_req,trend_used,AIC,RMSE_test,MSE_test,status,error
"(1,0,2)",1,0,2,c,c,2821.4671799773723,5.988938576954192,35.8673852785301,OK,
"(2,0,0)",2,0,0,ct,ct,2817.553440701026,6.072165547922841,36.8711944413811,OK,
"(2,0,1)",2,0,1,ct,ct,2818.462536612583,6.103789766017883,37.25624950774464,OK,
"(3,0,1)",3,0,1,ct,ct,2818.1507999943196,6.148656599848688,37.80597798286283,OK,
"(1,0,2)",1,0,2,ct,ct,2817.1957645471857,6.1549304104612235,37.88316835762037,OK,
"(0,1,0)",0,1,0,n,n,2825.0200734827013,6.2938553414193255,39.61261505871257,OK,
"(1,1,2)",1,1,2,n,n,2816.5616947902886,6.294535953814082,39.62118287385815,OK,
"(2,1,0)",2,1,0,n,n,2816.983340744423,6.295994796325138,39.63955047535321,OK,
"(1,1,1)",1,1,1,n,n,2816.541439014026,6.298852334142376,39.67554072733086,OK,
"(0,1,2)",0,1,2,n,n,2815.4615131464307,6.299771243104605,39.68711771544774,OK,
"(1,1,0)",1,1,0,n,n,2817.7852363396105,6.332517258139274,40.10077482463175,OK,
"(1,0,0)",1,0,0,ct,ct,2827.294404964323,6.337743948399522,40.16699835547476,OK,
"(2,1,1)",2,1,1,n,n,2819.304031710443,6.339534850511274,40.189702120847,OK,
"(0,1,1)",0,1,1,n,n,2816.2802977003776,6.342280104300418,40.22451692140492,OK,
"(3,1,0)",3,1,0,n,n,2814.9987037031838,6.347299629713741,40.2882125893642,OK,
"(1,0,0)",1,0,0,c,c,2831.6991123812804,6.370353529442386,40.58140409007906,OK,
"(5,1,1)",5,1,1,n,n,2809.5904601702687,6.394730279199894,40.892575343715954,OK,
"(4,1,1)",4,1,1,n,n,2810.8606227629707,6.396893157882524,40.92024207336426,OK,
"(5,1,0)",5,1,0,n,n,2810.099904641438,6.419010518989161,41.203696042893505,OK,
"(2,1,2)",2,1,2,n,n,2817.6547661085665,6.456950244015818,41.69220645369593,OK,
"(4,1,0)",4,1,0,n,n,2810.300598043098,6.463601241962322,41.77814101509687,OK,
"(5,1,2)",5,1,2,n,n,2811.7054578460297,6.478614247785997,41.97244257161572,OK,
"(3,1,1)",3,1,1,n,n,2815.274887004829,6.489996761984305,42.12005797056676,OK,
"(3,1,2)",3,1,2,n,n,2816.542100450586,6.492413035118661,42.1514270185787,OK,
"(4,1,2)",4,1,2,n,n,2811.9144716136184,6.501404314267458,42.26825805757552,OK,
"(0,2,0)",0,2,0,n,n,3558.5713756557207,10.725166090523985,115.02918766932554,OK,
"(2,2,0)",2,2,0,n,n,3109.3903469011175,13.73026744751223,188.52024418021398,OK,
"(0,0,2)",0,0,2,ct,ct,4787.3270739598165,14.419627508126984,207.92565747313242,OK,
"(0,0,1)",0,0,1,ct,ct,5548.856556503553,14.47016958099582,209.3858077027768,OK,
"(0,0,0)",0,0,0,ct,ct,6675.513667863663,14.52339389824113,210.92897032346767,OK,
"(3,2,0)",3,2,0,n,n,3054.1039138290225,15.753261705590315,248.1652543648183,OK,
"(5,2,0)",5,2,0,n,n,2975.1289314549613,16.984002119614583,288.4563279990727,OK,
"(1,2,0)",1,2,0,n,n,3204.829409934323,17.57879514067578,309.0140385978464,OK,
"(4,2,0)",4,2,0,n,n,2996.657874479948,18.143366485744668,329.1817474360429,OK,
"(0,0,2)",0,0,2,t,t,6929.918531890009,20.734019992619714,429.899585054354,OK,
"(0,0,1)",0,0,1,t,t,7965.020847371036,20.980540719950458,440.1830889014992,OK,
"(0,0,0)",0,0,0,t,t,9225.822531667705,21.102539870530016,445.31718898730907,OK,
"(0,0,2)",0,0,2,c,c,6010.096794562792,40.37143296861776,1629.852599939597,OK,
"(0,0,1)",0,0,1,c,c,6709.778483101907,40.474863087185284,1638.214541926394,OK,
"(0,0,0)",0,0,0,c,c,7917.790032026251,40.663985255392014,1653.5596968507389,OK,
"(0,0,2)",0,0,2,n,n,8798.934547066612,128.684195228403,16559.62210158174,OK,
"(0,0,2)",0,0,2,d,n,8798.934547066612,128.684195228403,16559.62210158174,OK,
"(0,0,1)",0,0,1,n,n,9812.697082871717,129.1295011535564,16674.42806816632,OK,
"(0,0,1)",0,0,1,d,n,9812.697082871717,129.1295011535564,16674.42806816632,OK,
"(0,0,0)",0,0,0,n,n,11100.263226967225,129.9569051017161,16888.797183616447,OK,
"(0,0,0)",0,0,0,d,n,11100.263226967225,129.9569051017161,16888.797183616447,OK,
"(0,1,0)",0,1,0,c,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(0,1,0)",0,1,0,ct,ct,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(0,1,0)",0,1,0,d,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(0,1,1)",0,1,1,c,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(0,1,1)",0,1,1,ct,ct,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(0,1,1)",0,1,1,d,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(0,1,2)",0,1,2,c,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(0,1,2)",0,1,2,ct,ct,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(0,1,2)",0,1,2,d,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(0,2,0)",0,2,0,c,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(0,2,0)",0,2,0,t,t,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(0,2,0)",0,2,0,ct,ct,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(0,2,0)",0,2,0,d,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(0,2,1)",0,2,1,c,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(0,2,1)",0,2,1,t,t,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(0,2,1)",0,2,1,ct,ct,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(0,2,1)",0,2,1,d,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(0,2,2)",0,2,2,c,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(0,2,2)",0,2,2,t,t,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(0,2,2)",0,2,2,ct,ct,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(0,2,2)",0,2,2,d,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(1,1,0)",1,1,0,c,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(1,1,0)",1,1,0,ct,ct,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(1,1,0)",1,1,0,d,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(1,1,1)",1,1,1,c,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(1,1,1)",1,1,1,ct,ct,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(1,1,1)",1,1,1,d,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
